Distance (m),Magnetic Field Practical (µT),Magnetic Field Math (µT),Cable Type,Cross Section (mm2),Load Current (A),Depth (m),Temperature (C),Humidity (%)
0,1.87,3.21,Underground Cable A,120.0,282.0,0.9,10,72
-1,0.78,0.83,Underground Cable A,120.0,282.0,0.9,10,72
1,0.89,0.87,Underground Cable A,120.0,282.0,0.9,10,72
-2,0.67,0.71,Underground Cable A,120.0,282.0,0.9,10,72
2,0.69,0.75,Underground Cable A,120.0,282.0,0.9,10,72
-3,0.59,0.61,Underground Cable A,120.0,282.0,0.9,10,72
3,0.62,0.65,Underground Cable A,120.0,282.0,0.9,10,72
-4,0.51,0.53,Underground Cable A,120.0,282.0,0.9,10,72
4,0.54,0.57,Underground Cable A,120.0,282.0,0.9,10,72
-5,0.42,0.44,Underground Cable A,120.0,282.0,0.9,10,72
5,0.44,0.49,Underground Cable A,120.0,282.0,0.9,10,72
-6,0.36,0.4,Underground Cable A,120.0,282.0,0.9,10,72
6,0.39,0.43,Underground Cable A,120.0,282.0,0.9,10,72
-7,0.26,0.29,Underground Cable A,120.0,282.0,0.9,10,72
7,0.29,0.34,Underground Cable A,120.0,282.0,0.9,10,72
-8,0.21,0.23,Underground Cable A,120.0,282.0,0.9,10,72
8,0.24,0.27,Underground Cable A,120.0,282.0,0.9,10,72
-9,0.19,0.22,Underground Cable A,120.0,282.0,0.9,10,72
9,0.23,0.26,Underground Cable A,120.0,282.0,0.9,10,72
-10,0.12,0.15,Underground Cable A,120.0,282.0,0.9,10,72
10,0.14,0.18,Underground Cable A,120.0,282.0,0.9,10,72
0,3.74,3.91,Underground Cable B,185.0,361.0,0.9,10,72
-1,1.58,1.68,Underground Cable B,185.0,361.0,0.9,10,72
1,1.69,1.81,Underground Cable B,185.0,361.0,0.9,10,72
-2,0.98,1.02,Underground Cable B,185.0,361.0,0.9,10,72
2,0.99,1.05,Underground Cable B,185.0,361.0,0.9,10,72
-3,0.64,0.78,Underground Cable B,185.0,361.0,0.9,10,72
3,0.71,0.87,Underground Cable B,185.0,361.0,0.9,10,72
-4,0.69,0.74,Underground Cable B,185.0,361.0,0.9,10,72
4,0.75,0.87,Underground Cable B,185.0,361.0,0.9,10,72
-5,0.4,0.46,Underground Cable B,185.0,361.0,0.9,10,72
5,0.43,0.49,Underground Cable B,185.0,361.0,0.9,10,72
-6,0.35,0.37,Underground Cable B,185.0,361.0,0.9,10,72
6,0.39,0.43,Underground Cable B,185.0,361.0,0.9,10,72
-7,0.25,0.35,Underground Cable B,185.0,361.0,0.9,10,72
7,0.29,0.39,Underground Cable B,185.0,361.0,0.9,10,72
-8,0.22,0.26,Underground Cable B,185.0,361.0,0.9,10,72
8,0.24,0.29,Underground Cable B,185.0,361.0,0.9,10,72
-9,0.19,0.22,Underground Cable B,185.0,361.0,0.9,10,72
9,0.23,0.24,Underground Cable B,185.0,361.0,0.9,10,72
-10,0.14,0.17,Underground Cable B,185.0,361.0,0.9,10,72
10,0.16,0.19,Underground Cable B,185.0,361.0,0.9,10,72
-30,0.007,,Overhead Line 11kV,,,,10,72
-20,0.027,,Overhead Line 11kV,,,,10,72
-10,0.131,,Overhead Line 11kV,,,,10,72
0,3.94,,Overhead Line 11kV,,,,10,72
10,0.134,,Overhead Line 11kV,,,,10,72
20,0.03,,Overhead Line 11kV,,,,10,72
30,0.008,,Overhead Line 11kV,,,,10,72
